Alpha BER FER Ratio_to_alpha1
0.20 2.260482e-04 1.248668e-03 0.1046
0.60 3.799364e-04 1.377838e-03 0.1759
1.00 2.160239e-03 5.080532e-03 1.0000
1.40 1.749618e-02 3.671329e-02 8.0992
1.80 4.527943e-02 9.382151e-02 20.9604
2.20 9.471254e-02 1.961722e-01 43.8435
2.60 1.400949e-01 3.000000e-01 64.8515
3.00 1.527644e-01 3.384615e-01 70.7164
